,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4
currenc,1.329543525996356E-4,4.7021140234438E-6,3.4361864103638136E-6,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,5.205360132840791E-5,0.001136082521886802,6.110217322099495E-6,1.7761894696831102E-5
current,0.0012018030695770984,8.51082638243328E-4,7.937590607940409E-4,8.057423846843266E-4,5.911593103872172E-4,3.244614750667579E-5,6.469519022244983E-4,9.885393372261785E-4,5.56029776311054E-4,1.7761894696831102E-5
custom,2.6069480901889334E-6,1.927866749611958E-4,7.215991461764009E-5,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,5.205360132840791E-5,1.5246129081597775E-4,6.110217322099495E-6,1.7761894696831102E-5
cut,4.4578812342230766E-4,2.398078151956338E-4,1.7524550692855445E-4,0.0016840397708331187,3.9149623204451475E-6,3.244614750667579E-5,1.264158889404192E-4,0.001136082521886802,2.5051891020607927E-4,1.7761894696831102E-5
cvc,2.6069480901889334E-6,4.7021140234438E-6,3.779805051400195E-5,1.947528986677756E-4,3.9149623204451475E-6,3.244614750667579E-5,1.0162845973641542E-4,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
cycl,2.6069480901889334E-6,5.172325425788181E-5,7.215991461764009E-5,1.1837921291570675E-4,1.2136383193379956E-4,3.244614750667579E-5,2.4787429204003767E-6,2.5082341392306017E-4,6.721239054309445E-5,1.7761894696831102E-5
cynic,2.6069480901889334E-6,4.7021140234438E-6,3.4361864103638136E-6,3.818684287603444E-6,1.2136383193379956E-4,3.244614750667579E-5,1.5120331814442295E-4,1.5246129081597775E-4,3.116210834270742E-4,1.7761894696831102E-5
czech,2.6069480901889334E-6,4.7021140234438E-6,3.779805051400195E-5,3.818684287603444E-6,8.221420872934809E-5,3.244614750667579E-5,1.7599074734842672E-4,4.9181061553541216E-6,6.110217322099495E-6,1.9538084166514214E-4
daili,2.6330175710908226E-4,3.808712358989478E-4,3.779805051400195E-5,1.947528986677756E-4,1.2136383193379956E-4,3.244614750667579E-5,5.230147562044795E-4,1.5246129081597775E-4,4.338254298690641E-4,0.011385374500668734
damag,3.675796807166396E-4,4.7021140234438E-6,1.0652177872127821E-4,1.947528986677756E-4,3.171119479560569E-4,3.244614750667579E-5,1.7599074734842672E-4,3.000044754766014E-4,3.116210834270742E-4,1.7761894696831102E-5
dan,5.4745909893967604E-5,5.172325425788181E-5,0.0011717395659340604,3.818684287603444E-6,4.306458552489662E-5,3.244614750667579E-5,5.205360132840791E-5,4.9181061553541216E-6,6.110217322099495E-6,7.282376825700751E-4
danger,6.022050088336436E-4,1.927866749611958E-4,3.4361864103638136E-6,8.019237003967232E-5,7.086081800005716E-4,3.244614750667579E-5,6.469519022244983E-4,3.983665985836838E-4,5.56029776311054E-4,1.7761894696831102E-5
daniel,2.6069480901889334E-6,5.172325425788181E-5,3.8141669155038324E-4,2.711265844198445E-4,1.6051345513825102E-4,3.244614750667579E-5,7.684103053241167E-5,4.9181061553541216E-6,6.110217322099495E-6,1.9538084166514214E-4
dare,2.6069480901889334E-6,1.457655347267578E-4,3.4361864103638136E-6,8.019237003967232E-5,1.9966307834270249E-4,3.244614750667579E-5,2.4787429204003767E-6,2.0164235236951896E-4,6.721239054309445E-5,1.7761894696831102E-5
dark,2.6069480901889334E-6,1.927866749611958E-4,3.4361864103638136E-6,3.818684287603444E-6,1.2136383193379956E-4,3.244614750667579E-5,1.264158889404192E-4,2.0164235236951896E-4,3.116210834270742E-4,1.7761894696831102E-5
data,5.4745909893967604E-5,8.040614980088899E-4,3.4361864103638136E-6,1.1837921291570675E-4,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.47547660137225E-4,1.283145637640894E-4,1.7761894696831102E-5
date,3.675796807166396E-4,3.338500956645098E-4,0.0012404632941413365,2.3293974154381004E-4,8.221420872934809E-5,0.07076504771205991,2.2556560575643424E-4,3.491855370301426E-4,6.17131949532049E-4,1.7761894696831102E-5
daughter,2.6069480901889334E-6,1.457655347267578E-4,3.779805051400195E-5,3.818684287603444E-6,1.2136383193379956E-4,3.244614750667579E-5,2.7266172124404146E-5,1.5246129081597775E-4,8.004384691950338E-4,1.9538084166514214E-4
davi,2.6069480901889334E-6,9.874439449231981E-5,1.7524550692855445E-4,4.2005527163637885E-5,8.221420872934809E-5,3.244614750667579E-5,2.7266172124404146E-5,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
david,2.867642899207827E-5,0.002308737985510906,9.655683813122316E-4,4.2387395592398224E-4,7.477578032050232E-4,3.244614750667579E-5,0.0014897244951606263,0.004234489399759898,1.283145637640894E-4,7.282376825700751E-4
davutoglu,2.6069480901889334E-6,4.7021140234438E-6,1.0652177872127821E-4,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,9.058566295383861E-4
day,8.889692987544263E-4,0.0024027802659797822,0.004229945471157854,0.0027150845284860483,0.0013741517744762467,3.244614750667579E-5,0.0019358982208326938,0.0019229795067434614,0.004283262342791746,5.506187356017642E-4
dc,1.8509331440341427E-4,4.7021140234438E-6,0.0015497200710740799,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.751404641644418E-4,4.9181061553541216E-6,6.110217322099495E-6,0.006944900826460961
dca,2.3723227620719292E-4,4.7021140234438E-6,3.779805051400195E-5,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.721239054309445E-5,1.7761894696831102E-5
de,2.111627953053036E-4,4.7021140234438E-6,7.215991461764009E-5,3.0931342729587893E-4,1.9966307834270249E-4,3.244614750667579E-5,1.5120331814442295E-4,1.0328022926243655E-4,3.116210834270742E-4,1.7761894696831102E-5
dead,8.081539079585694E-5,1.457655347267578E-4,3.4361864103638136E-6,1.1837921291570675E-4,2.3881270154715395E-4,3.244614750667579E-5,7.684103053241167E-5,4.9181061553541216E-6,8.004384691950338E-4,1.7761894696831102E-5
deadlin,2.867642899207827E-5,4.7021140234438E-6,7.215991461764009E-5,3.818684287603444E-6,3.171119479560569E-4,3.244614750667579E-5,1.5120331814442295E-4,4.9181061553541216E-6,6.721239054309445E-5,1.7761894696831102E-5
deal,9.41108260558205E-4,0.0011332094796499559,5.875878761722121E-4,0.001531292399328981,0.0013350021512717953,3.244614750667579E-5,0.0015888742119766412,0.0035459545380103212,2.5051891020607927E-4,1.7761894696831102E-5
dealt,5.4745909893967604E-5,4.7021140234438E-6,3.4361864103638136E-6,8.019237003967232E-5,4.306458552489662E-5,3.244614750667579E-5,1.264158889404192E-4,1.5246129081597775E-4,6.110217322099495E-6,1.7761894696831102E-5
dean,2.867642899207827E-5,4.7021140234438E-6,3.4361864103638136E-6,8.019237003967232E-5,3.9149623204451475E-6,3.244614750667579E-5,1.0162845973641542E-4,4.9181061553541216E-6,6.110217322099495E-6,3.7299978863345314E-4
dear,2.867642899207827E-5,4.7021140234438E-6,8.624827890013172E-4,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.0077817655243048E-4,5.409916770889534E-5,6.110217322099495E-6,1.7761894696831102E-5
death,2.3723227620719292E-4,0.001791505442932088,3.779805051400195E-5,2.711265844198445E-4,2.3881270154715395E-4,0.0010058305727069497,2.751404641644418E-4,4.47547660137225E-4,0.0016558688942889632,1.7761894696831102E-5
debat,3.4151019981475025E-4,7.100192175400139E-4,3.779805051400195E-5,0.0019513476709653596,6.303089335916687E-4,3.244614750667579E-5,5.72589614612487E-4,3.000044754766014E-4,1.283145637640894E-4,1.7761894696831102E-5
debt,2.111627953053036E-4,4.7021140234438E-6,3.4361864103638136E-6,3.856871130479478E-4,3.9149623204451475E-6,3.244614750667579E-5,2.7266172124404146E-5,7.426340294584723E-4,6.110217322099495E-6,1.7761894696831102E-5
dec,2.6069480901889334E-6,9.874439449231981E-5,1.7524550692855445E-4,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,7.684103053241167E-5,5.409916770889534E-5,6.721239054309445E-5,1.9538084166514214E-4
decad,5.761355279317543E-4,3.808712358989478E-4,3.779805051400195E-5,8.821160704363955E-4,5.911593103872172E-4,3.244614750667579E-5,3.4950275177645306E-4,9.393582756726372E-4,4.338254298690641E-4,1.7761894696831102E-5
decemb,1.0688487169774627E-4,3.338500956645098E-4,4.157785556540214E-4,4.2387395592398224E-4,1.9966307834270249E-4,3.244614750667579E-5,3.247153225724493E-4,3.000044754766014E-4,6.721239054309445E-5,1.7761894696831102E-5
decid,2.3723227620719292E-4,1.927866749611958E-4,7.937590607940409E-4,5.766213274281199E-4,5.911593103872172E-4,3.244614750667579E-5,4.2386503938846444E-4,5.459097832443074E-4,6.721239054309445E-5,1.7761894696831102E-5
decis,0.001175733588675209,2.398078151956338E-4,5.875878761722121E-4,6.148081703041545E-4,6.303089335916687E-4,3.244614750667579E-5,0.0012914250615285961,5.950908447978486E-4,4.94927603090059E-4,1.7761894696831102E-5
declan,2.6069480901889334E-6,4.7021140234438E-6,3.12692963343107E-4,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,1.0328022926243655E-4,6.110217322099495E-6,1.7761894696831102E-5
declar,8.081539079585694E-5,5.219346566022619E-4,3.4361864103638136E-6,6.148081703041545E-4,9.04356296022829E-4,3.244614750667579E-5,2.9992789336844554E-4,6.442719063513899E-4,6.721239054309445E-5,1.7761894696831102E-5
declin,2.6069480901889334E-6,6.629980773055758E-4,1.0652177872127821E-4,1.947528986677756E-4,8.221420872934809E-5,3.244614750667579E-5,3.247153225724493E-4,4.967287216907662E-4,4.94927603090059E-4,1.7761894696831102E-5
dedic,1.8509331440341427E-4,1.457655347267578E-4,1.4088364282491633E-4,3.818684287603444E-6,1.6051345513825102E-4,3.244614750667579E-5,1.0162845973641542E-4,1.5246129081597775E-4,1.8941673698508435E-4,1.9538084166514214E-4
deed,2.6069480901889334E-6,1.457655347267578E-4,3.4361864103638136E-6,2.711265844198445E-4,3.9149623204451475E-6,3.244614750667579E-5,5.205360132840791E-5,4.9181061553541216E-6,6.721239054309445E-5,1.7761894696831102E-5
deep,2.6069480901889334E-6,1.927866749611958E-4,3.4361864103638136E-6,1.1837921291570675E-4,4.737104407738628E-4,3.244614750667579E-5,2.0077817655243048E-4,2.0164235236951896E-4,3.7272325664806916E-4,1.7761894696831102E-5
deepli,2.111627953053036E-4,1.457655347267578E-4,3.779805051400195E-5,1.5656605579174117E-4,4.737104407738628E-4,3.244614750667579E-5,4.2386503938846444E-4,1.5246129081597775E-4,4.94927603090059E-4,1.7761894696831102E-5
defam,2.6069480901889334E-6,4.7021140234438E-6,3.4361864103638136E-6,3.818684287603444E-6,4.737104407738628E-4,3.244614750667579E-5,2.7266172124404146E-5,5.409916770889534E-5,6.110217322099495E-6,1.7761894696831102E-5
defeat,3.675796807166396E-4,1.927866749611958E-4,3.779805051400195E-5,7.675555418082922E-4,3.171119479560569E-4,3.244614750667579E-5,2.50353034960438E-4,3.000044754766014E-4,6.110217322099495E-6,1.7761894696831102E-5
defenc,5.4745909893967604E-5,4.7021140234438E-6,3.779805051400195E-5,3.818684287603444E-6,4.306458552489662E-5,3.244614750667579E-5,3.247153225724493E-4,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
defend,2.6069480901889334E-6,4.278923761333858E-4,3.4361864103638136E-6,1.1837921291570675E-4,2.779623247516054E-4,3.244614750667579E-5,4.7343989779647196E-4,3.491855370301426E-4,3.7272325664806916E-4,1.7761894696831102E-5
defens,8.889692987544263E-4,2.868289554300718E-4,2.4396923513583072E-4,6.911818560562233E-4,4.3456081756941133E-4,3.244614750667579E-5,0.0014401496367526189,4.9181061553541216E-6,5.56029776311054E-4,1.7761894696831102E-5
deficit,1.8509331440341427E-4,9.874439449231981E-5,3.4361864103638136E-6,6.529950131801889E-4,3.9149623204451475E-6,3.244614750667579E-5,2.7266172124404146E-5,9.885393372261785E-4,6.110217322099495E-6,1.7761894696831102E-5
defin,3.1544071891286094E-4,1.457655347267578E-4,3.4361864103638136E-6,2.711265844198445E-4,0.0010218051656361834,3.244614750667579E-5,2.0077817655243048E-4,1.5246129081597775E-4,6.110217322099495E-6,1.7761894696831102E-5
definit,1.8509331440341427E-4,4.278923761333858E-4,3.8141669155038324E-4,1.1837921291570675E-4,1.6051345513825102E-4,3.244614750667579E-5,2.0077817655243048E-4,4.9181061553541216E-6,6.721239054309445E-5,1.7761894696831102E-5
degre,1.8509331440341427E-4,2.398078151956338E-4,7.215991461764009E-5,3.818684287603444E-6,2.3881270154715395E-4,3.244614750667579E-5,1.264158889404192E-4,3.491855370301426E-4,6.721239054309445E-5,1.7761894696831102E-5
delay,2.6330175710908226E-4,4.7021140234438E-6,2.096073710321926E-4,3.4750027017191337E-4,3.9149623204451475E-6,3.244614750667579E-5,1.0162845973641542E-4,2.0164235236951896E-4,6.110217322099495E-6,1.7761894696831102E-5
deleg,4.197186425204183E-4,5.172325425788181E-5,2.096073710321926E-4,8.019237003967232E-5,2.3881270154715395E-4,3.244614750667579E-5,4.2386503938846444E-4,1.5246129081597775E-4,6.721239054309445E-5,7.282376825700751E-4
delhi,1.329543525996356E-4,4.7021140234438E-6,1.0652177872127821E-4,3.818684287603444E-6,8.221420872934809E-5,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,1.9538084166514214E-4
deliber,1.329543525996356E-4,2.398078151956338E-4,3.4361864103638136E-6,1.5656605579174117E-4,2.3881270154715395E-4,3.244614750667579E-5,5.205360132840791E-5,1.5246129081597775E-4,6.110217322099495E-6,1.7761894696831102E-5
deliv,9.932472223619837E-4,6.159769370711379E-4,4.8450228386129763E-4,2.3293974154381004E-4,1.2136383193379956E-4,3.244614750667579E-5,4.7343989779647196E-4,1.5246129081597775E-4,6.721239054309445E-5,5.506187356017642E-4
deliveri,1.5902383350152493E-4,4.7021140234438E-6,2.096073710321926E-4,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.7266172124404146E-5,4.9181061553541216E-6,6.721239054309445E-5,1.7761894696831102E-5
dem,2.6069480901889334E-6,7.100192175400139E-4,7.215991461764009E-5,4.2005527163637885E-5,3.9149623204451475E-6,6.813690976401916E-4,7.684103053241167E-5,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
demand,3.675796807166396E-4,4.749135163678238E-4,3.4361864103638136E-6,2.711265844198445E-4,0.0016873487601118584,3.244614750667579E-5,3.9907761018446064E-4,0.0015295310143151318,6.17131949532049E-4,1.7761894696831102E-5
demint,2.6069480901889334E-6,4.7021140234438E-6,3.4361864103638136E-6,6.148081703041545E-4,3.9149623204451475E-6,3.244614750667579E-5,2.751404641644418E-4,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
democraci,9.41108260558205E-4,2.868289554300718E-4,2.096073710321926E-4,3.818684287603444E-6,0.0011392540352495378,3.244614750667579E-5,2.0077817655243048E-4,1.0328022926243655E-4,1.8941673698508435E-4,5.506187356017642E-4
democrat,8.889692987544263E-4,0.007575105691767962,3.4361864103638136E-6,0.011192563646965694,5.520096871827657E-4,3.244614750667579E-5,5.973770438164908E-4,0.0014803499527615905,6.721239054309445E-5,1.7761894696831102E-5
demonstr,4.197186425204183E-4,9.45124918712204E-4,7.215991461764009E-5,2.3293974154381004E-4,5.911593103872172E-4,3.244614750667579E-5,1.7599074734842672E-4,4.9181061553541216E-6,3.7272325664806916E-4,1.7761894696831102E-5
deni,2.6330175710908226E-4,1.457655347267578E-4,1.7524550692855445E-4,1.947528986677756E-4,7.869074264094746E-4,3.244614750667579E-5,4.982273270004757E-4,3.000044754766014E-4,8.615406424160287E-4,1.7761894696831102E-5
denni,2.6069480901889334E-6,4.7021140234438E-6,2.7833109923946884E-4,3.818684287603444E-6,8.221420872934809E-5,3.244614750667579E-5,5.205360132840791E-5,4.9181061553541216E-6,6.110217322099495E-6,3.7299978863345314E-4
denounc,2.6069480901889334E-6,3.808712358989478E-4,3.4361864103638136E-6,3.818684287603444E-6,2.779623247516054E-4,3.244614750667579E-5,1.264158889404192E-4,1.0328022926243655E-4,1.283145637640894E-4,1.7761894696831102E-5
depart,0.003391639465335802,1.457655347267578E-4,0.0011030158377267842,3.856871130479478E-4,3.5626157116050834E-4,3.244614750667579E-5,0.0019854730792407014,6.442719063513899E-4,0.001778073240730953,0.03305488603080268
departur,1.0688487169774627E-4,5.172325425788181E-5,1.0652177872127821E-4,4.2005527163637885E-5,3.9149623204451475E-6,3.244614750667579E-5,1.0162845973641542E-4,4.9181061553541216E-6,2.5051891020607927E-4,1.7761894696831102E-5
depend,4.197186425204183E-4,5.172325425788181E-5,3.779805051400195E-5,2.3293974154381004E-4,4.306458552489662E-5,3.244614750667579E-5,2.751404641644418E-4,3.983665985836838E-4,6.721239054309445E-5,1.7761894696831102E-5
depict,2.867642899207827E-5,2.868289554300718E-4,3.4361864103638136E-6,1.1837921291570675E-4,8.221420872934809E-5,3.244614750667579E-5,1.264158889404192E-4,4.9181061553541216E-6,1.8941673698508435E-4,1.7761894696831102E-5
deplor,2.6069480901889334E-6,4.7021140234438E-6,3.4361864103638136E-6,4.2005527163637885E-5,3.9541119436495986E-4,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.721239054309445E-5,1.7761894696831102E-5
deploy,7.325524133430904E-4,4.7021140234438E-6,3.4361864103638136E-6,8.019237003967232E-5,3.9149623204451475E-6,3.244614750667579E-5,3.247153225724493E-4,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
deposit,2.6069480901889334E-6,4.7021140234438E-6,3.4361864103638136E-6,8.019237003967232E-5,3.5626157116050834E-4,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,1.283145637640894E-4,1.7761894696831102E-5
depress,2.6069480901889334E-6,9.874439449231981E-5,3.4361864103638136E-6,8.019237003967232E-5,8.221420872934809E-5,3.244614750667579E-5,2.7266172124404146E-5,2.0164235236951896E-4,6.721239054309445E-5,1.7761894696831102E-5
dept,1.0688487169774627E-4,4.7021140234438E-6,1.4088364282491633E-4,3.818684287603444E-6,4.306458552489662E-5,0.07011612476192638,2.7266172124404146E-5,4.9181061553541216E-6,1.283145637640894E-4,1.7761894696831102E-5
depth,1.329543525996356E-4,4.7021140234438E-6,3.4361864103638136E-6,1.1837921291570675E-4,1.2136383193379956E-4,3.244614750667579E-5,5.205360132840791E-5,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
deputi,2.111627953053036E-4,5.172325425788181E-5,3.12692963343107E-4,2.711265844198445E-4,2.779623247516054E-4,3.244614750667579E-5,6.221644730204945E-4,5.459097832443074E-4,1.8941673698508435E-4,0.002682046099221496
derek,2.6069480901889334E-6,4.7021140234438E-6,5.188641479649358E-4,3.818684287603444E-6,4.306458552489662E-5,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
descend,2.867642899207827E-5,9.874439449231981E-5,3.4361864103638136E-6,4.2005527163637885E-5,1.2136383193379956E-4,3.244614750667579E-5,1.0162845973641542E-4,4.9181061553541216E-6,1.283145637640894E-4,1.7761894696831102E-5
describ,2.893712380109716E-4,0.0013212940405877079,2.7833109923946884E-4,5.384344845520855E-4,6.303089335916687E-4,3.244614750667579E-5,8.452513358565284E-4,5.950908447978486E-4,7.393362959740388E-4,1.7761894696831102E-5
deserv,1.329543525996356E-4,4.7021140234438E-6,1.0652177872127821E-4,1.5656605579174117E-4,1.9966307834270249E-4,3.244614750667579E-5,1.0162845973641542E-4,5.409916770889534E-5,6.721239054309445E-5,1.7761894696831102E-5
design,4.7185760432419697E-4,4.749135163678238E-4,3.4361864103638136E-6,2.711265844198445E-4,1.2136383193379956E-4,3.244614750667579E-5,2.2556560575643424E-4,2.0164235236951896E-4,6.110217322099495E-6,1.7761894696831102E-5
desir,1.8509331440341427E-4,4.7021140234438E-6,2.4396923513583072E-4,1.947528986677756E-4,4.737104407738628E-4,3.244614750667579E-5,2.50353034960438E-4,2.5082341392306017E-4,6.110217322099495E-6,1.7761894696831102E-5
desk,8.081539079585694E-5,4.7021140234438E-6,3.4705482744674514E-4,3.0931342729587893E-4,4.306458552489662E-5,3.244614750667579E-5,2.4787429204003767E-6,2.5082341392306017E-4,6.110217322099495E-6,1.7761894696831102E-5
desper,1.8509331440341427E-4,2.398078151956338E-4,3.4361864103638136E-6,1.5656605579174117E-4,1.6051345513825102E-4,3.244614750667579E-5,1.5120331814442295E-4,5.409916770889534E-5,3.116210834270742E-4,1.7761894696831102E-5
despit,3.1544071891286094E-4,1.927866749611958E-4,1.4088364282491633E-4,6.148081703041545E-4,5.911593103872172E-4,3.244614750667579E-5,2.751404641644418E-4,5.409916770889534E-5,6.17131949532049E-4,1.7761894696831102E-5
destroy,1.5902383350152493E-4,4.7021140234438E-6,3.779805051400195E-5,1.947528986677756E-4,3.9541119436495986E-4,3.244614750667579E-5,2.0077817655243048E-4,2.0164235236951896E-4,3.7272325664806916E-4,1.7761894696831102E-5
destruct,8.081539079585694E-5,1.457655347267578E-4,3.4361864103638136E-6,8.019237003967232E-5,3.5626157116050834E-4,3.244614750667579E-5,7.684103053241167E-5,5.409916770889534E-5,4.338254298690641E-4,1.7761894696831102E-5
detail,5.239965661279757E-4,2.868289554300718E-4,7.937590607940409E-4,4.6206079880001667E-4,2.3881270154715395E-4,3.244614750667579E-5,4.4865246859246817E-4,5.409916770889534E-5,3.116210834270742E-4,1.7761894696831102E-5
detain,2.6069480901889334E-6,4.7021140234438E-6,3.4361864103638136E-6,4.2005527163637885E-5,8.221420872934809E-5,3.244614750667579E-5,7.684103053241167E-5,1.0328022926243655E-4,8.615406424160287E-4,1.7761894696831102E-5
detaine,2.6069480901889334E-6,4.7021140234438E-6,3.779805051400195E-5,3.818684287603444E-6,4.306458552489662E-5,3.244614750667579E-5,2.7266172124404146E-5,4.9181061553541216E-6,6.78234122753044E-4,1.7761894696831102E-5
detent,5.4745909893967604E-5,4.7021140234438E-6,3.779805051400195E-5,3.818684287603444E-6,4.306458552489662E-5,3.244614750667579E-5,1.0162845973641542E-4,2.0164235236951896E-4,6.17131949532049E-4,1.7761894696831102E-5
determin,6.28274489735533E-4,2.868289554300718E-4,1.4088364282491633E-4,1.1837921291570675E-4,1.2136383193379956E-4,3.244614750667579E-5,3.4950275177645306E-4,3.491855370301426E-4,6.110217322099495E-6,1.7761894696831102E-5
deuel,1.329543525996356E-4,4.7021140234438E-6,3.4361864103638136E-6,1.1837921291570675E-4,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,2.5082341392306017E-4,6.110217322099495E-6,1.7761894696831102E-5
devast,1.0688487169774627E-4,4.7021140234438E-6,3.4361864103638136E-6,1.1837921291570675E-4,3.9149623204451475E-6,3.244614750667579E-5,1.264158889404192E-4,1.5246129081597775E-4,1.283145637640894E-4,1.7761894696831102E-5
develop,0.0054250589756831705,1.927866749611958E-4,7.937590607940409E-4,5.766213274281199E-4,4.3456081756941133E-4,3.244614750667579E-5,0.0011179130571005698,0.0018737984451899202,1.8941673698508435E-4,1.7761894696831102E-5
devic,5.4745909893967604E-5,4.7021140234438E-6,1.0652177872127821E-4,8.019237003967232E-5,3.9149623204451475E-6,3.244614750667579E-5,2.7266172124404146E-5,6.442719063513899E-4,6.110217322099495E-6,1.7761894696831102E-5
devolut,2.6069480901889334E-6,9.874439449231981E-5,3.779805051400195E-5,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,0.0011852635834403433,6.110217322099495E-6,1.7761894696831102E-5
devolv,2.6069480901889334E-6,4.7021140234438E-6,3.4361864103638136E-6,1.1837921291570675E-4,4.306458552489662E-5,3.244614750667579E-5,2.4787429204003767E-6,6.442719063513899E-4,6.110217322099495E-6,1.7761894696831102E-5
devot,2.6069480901889334E-6,4.749135163678238E-4,3.4361864103638136E-6,4.2005527163637885E-5,3.9541119436495986E-4,3.244614750667579E-5,1.0162845973641542E-4,4.9181061553541216E-6,6.721239054309445E-5,1.7761894696831102E-5
dialogu,5.50066047029865E-4,4.7021140234438E-6,5.875878761722121E-4,3.818684287603444E-6,1.9966307834270249E-4,3.244614750667579E-5,3.247153225724493E-4,4.9181061553541216E-6,6.110217322099495E-6,3.7299978863345314E-4
dick,2.867642899207827E-5,4.278923761333858E-4,1.7524550692855445E-4,3.4750027017191337E-4,3.9149623204451475E-6,3.244614750667579E-5,1.0162845973641542E-4,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
dictat,1.5902383350152493E-4,5.172325425788181E-5,3.4361864103638136E-6,3.818684287603444E-6,2.3881270154715395E-4,3.244614750667579E-5,1.5120331814442295E-4,4.9181061553541216E-6,2.5051891020607927E-4,1.7761894696831102E-5
die,5.4745909893967604E-5,2.398078151956338E-4,3.4361864103638136E-6,5.00247641676051E-4,2.779623247516054E-4,3.244614750667579E-5,2.50353034960438E-4,3.000044754766014E-4,0.0014114602014049834,1.7761894696831102E-5
differ,8.62899817852537E-4,4.278923761333858E-4,7.250353325867646E-4,5.384344845520855E-4,9.82655542431732E-4,3.244614750667579E-5,0.0010187633402845549,0.0010869014603332608,4.94927603090059E-4,1.7761894696831102E-5
difficult,5.50066047029865E-4,3.338500956645098E-4,4.8450228386129763E-4,2.711265844198445E-4,5.911593103872172E-4,3.244614750667579E-5,3.9907761018446064E-4,1.0328022926243655E-4,5.56029776311054E-4,1.7761894696831102E-5
difficulti,5.4745909893967604E-5,4.7021140234438E-6,1.0652177872127821E-4,1.947528986677756E-4,1.2136383193379956E-4,3.244614750667579E-5,1.5120331814442295E-4,5.409916770889534E-5,6.721239054309445E-5,1.7761894696831102E-5
digniti,1.329543525996356E-4,4.7021140234438E-6,3.4361864103638136E-6,3.818684287603444E-6,4.3456081756941133E-4,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.721239054309445E-5,1.7761894696831102E-5
dimens,2.893712380109716E-4,5.172325425788181E-5,3.4361864103638136E-6,1.1837921291570675E-4,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
dine,2.6069480901889334E-6,4.7021140234438E-6,3.4361864103638136E-6,8.019237003967232E-5,3.9149623204451475E-6,3.244614750667579E-5,2.7266172124404146E-5,4.9181061553541216E-6,6.110217322099495E-6,5.506187356017642E-4
dinner,2.867642899207827E-5,4.7021140234438E-6,0.0017902531197995467,2.3293974154381004E-4,3.9149623204451475E-6,3.244614750667579E-5,4.982273270004757E-4,1.0328022926243655E-4,6.110217322099495E-6,0.00161633241741163
diplomaci,0.003052736213611241,4.7021140234438E-6,2.7833109923946884E-4,4.2005527163637885E-5,7.477578032050232E-4,3.244614750667579E-5,9.444010526725435E-4,4.9181061553541216E-6,1.8941673698508435E-4,3.7299978863345314E-4
diplomat,0.002192443343848893,5.172325425788181E-5,1.7524550692855445E-4,3.818684287603444E-6,0.001060954788840635,3.244614750667579E-5,0.0017623862164046675,4.9181061553541216E-6,8.004384691950338E-4,1.7761894696831102E-5
direct,7.84691375146869E-4,6.159769370711379E-4,6.219497402758503E-4,5.00247641676051E-4,0.0012958525280673437,3.244614750667579E-5,7.461016190405134E-4,4.967287216907662E-4,6.17131949532049E-4,0.0025044271522531854
directli,4.7185760432419697E-4,1.457655347267578E-4,3.4705482744674514E-4,3.4750027017191337E-4,5.128600639783143E-4,3.244614750667579E-5,1.0162845973641542E-4,2.0164235236951896E-4,1.8941673698508435E-4,1.9538084166514214E-4
