,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4
monday,2.6069480901889334E-6,2.868289554300718E-4,0.002133871760835928,3.4750027017191337E-4,1.6051345513825102E-4,3.244614750667579E-5,2.2556560575643424E-4,2.5082341392306017E-4,6.17131949532049E-4,9.058566295383861E-4
monetari,8.081539079585694E-5,4.7021140234438E-6,3.4361864103638136E-6,4.2005527163637885E-5,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,5.950908447978486E-4,6.110217322099495E-6,1.7761894696831102E-5
money,7.586218942449796E-4,4.278923761333858E-4,3.779805051400195E-5,0.0020277213567174287,3.9149623204451475E-6,3.244614750667579E-5,2.0077817655243048E-4,0.001824617383636379,3.7272325664806916E-4,1.7761894696831102E-5
monica,2.6069480901889334E-6,4.7021140234438E-6,2.4396923513583072E-4,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,1.7599074734842672E-4,4.9181061553541216E-6,6.110217322099495E-6,5.506187356017642E-4
monitor,2.3723227620719292E-4,1.927866749611958E-4,3.4361864103638136E-6,4.2005527163637885E-5,1.2136383193379956E-4,3.244614750667579E-5,1.0162845973641542E-4,2.0164235236951896E-4,1.283145637640894E-4,1.7761894696831102E-5
monro,2.6069480901889334E-6,4.7021140234438E-6,3.4361864103638136E-6,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,0.0017939513643799412
month,7.586218942449796E-4,0.00127427290035327,7.250353325867646E-4,0.0017604134565851876,9.82655542431732E-4,3.244614750667579E-5,0.0014649370659566225,0.0024147901222788737,0.001900277587172943,1.7761894696831102E-5
monthli,5.4745909893967604E-5,5.172325425788181E-5,7.215991461764009E-5,8.019237003967232E-5,3.9149623204451475E-6,3.244614750667579E-5,5.205360132840791E-5,1.0328022926243655E-4,6.110217322099495E-6,1.7761894696831102E-5
mood,2.6069480901889334E-6,5.172325425788181E-5,1.4088364282491633E-4,2.3293974154381004E-4,8.221420872934809E-5,3.244614750667579E-5,5.205360132840791E-5,4.9181061553541216E-6,1.8941673698508435E-4,1.7761894696831102E-5
moral,2.111627953053036E-4,2.398078151956338E-4,1.0652177872127821E-4,3.818684287603444E-6,5.128600639783143E-4,3.244614750667579E-5,1.264158889404192E-4,4.9181061553541216E-6,6.721239054309445E-5,1.7761894696831102E-5
moreov,8.081539079585694E-5,4.7021140234438E-6,3.4361864103638136E-6,1.1837921291570675E-4,1.9966307834270249E-4,3.244614750667579E-5,2.7266172124404146E-5,5.409916770889534E-5,6.110217322099495E-6,1.7761894696831102E-5
mormon,2.6069480901889334E-6,6.159769370711379E-4,3.4361864103638136E-6,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,7.684103053241167E-5,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
morn,8.081539079585694E-5,2.398078151956338E-4,0.003542708189085091,5.384344845520855E-4,4.306458552489662E-5,3.244614750667579E-5,2.9992789336844554E-4,2.5082341392306017E-4,9.226428156370237E-4,1.9538084166514214E-4
morocco,5.50066047029865E-4,4.7021140234438E-6,1.7524550692855445E-4,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,5.409916770889534E-5,2.5051891020607927E-4,1.9538084166514214E-4
