,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6
addit,6.828559600678749E-4,0.0026294828048517606,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,5.255581544869955E-4,7.433987889327968E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
address,0.0012193473221667696,6.572063996130369E-7,0.002903466745098646,2.490292838515467E-7,3.664529695503574E-4,0.00480547495051598,4.328144163174899E-4,9.49259901850911E-4,0.0019879543611783846,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0747868420790814E-4
adequ,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,3.092488424963185E-5,1.944358211511589E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
adjust,1.4636459796898025E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,7.214432343607883E-5,6.86318077012002E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
administ,4.8771942008990424E-8,0.0013150700056256865,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,4.12297440462436E-5,6.86318077012002E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,6.220215097981342E-4
administr,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,0.003604406480004612,0.0018651899280465226,0.002504654977232218,0.0013255237176667601,1.3199716998067561E-6,0.004074675390814384,5.354488560670639E-7,0.008639604256887498,2.0727141279511305E-7
admir,9.759265595998983E-5,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.133637626225258E-4,2.2874600663751125E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
admit,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.3702208018186677E-4,1.2581545017845413E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
adopt,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,7.325398522180471E-4,1.201068470511367E-6,2.1641236058864328E-4,2.630561921238636E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
adult,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,8.244918323269057E-5,1.1436728495450789E-8,6.624306435116243E-7,1.3199716998067561E-6,0.004074675390814384,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
advanc,5.365401340409037E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.885463791649255E-4,5.832845899964857E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
advantag,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.9885123896153723E-4,1.2581545017845413E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
adversari,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.06200244530201E-5,1.0294199318755255E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
advertis,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.133637626225258E-4,5.71950792057494E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,0.005355024009526706,1.4396940937989497E-6,2.0727141279511305E-7
advic,1.4636459796898025E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.7824151936831375E-4,8.006853619665098E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.359843049231309E-4,1.4396940937989497E-6,2.0727141279511305E-7
advis,4.877681920319132E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,0.0012056789010633708,4.917907620328794E-4,0.003312815648201633,1.3199716998067561E-6,0.0020375923307896955,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
advisor,1.951365399779707E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.1641236058864328E-4,6.86318077012002E-5,0.0019879543611783846,1.3199716998067561E-6,0.0020375923307896955,5.354488560670639E-7,1.4396940937989497E-6,6.220215097981342E-4
